Item Label,Context,Context_sp,Type,Type_2,Fabric,Notes
PC 19870042,Tesoro,Tesoro 26,sample,Unclassified / Debris / Misc.,Light green glass,Glass Fragment
PC 20080175,Tesoro,Tesoro 48,vessel; aryballoi; Aryballos; aryballos,Vessel,Glass,Barbatine Glass Aryballos Fragment
PC 19810095,Tesoro,Tesoro 26,vessel,Vessel,Glass,Glass Rim Fragment
PC 20030005,Tesoro South Terrace,Tesoro South Terrace 1,bead,"Costume, Accessories::Bead",Glass,Cobalt Glass Bead Fragment
PC 20090041,Tesoro,Tesoro 52,bead,"Costume, Accessories::Bead",Glass,Glass Bead
PC 20040170,Tesoro,Tesoro 30C,bead,"Costume, Accessories::Bead",Glass,Glass Bead
PC 19810097,Tesoro,Tesoro 26,vessel,Vessel,Glass,Glass Rim Fragment
PC 19710020,Tesoro,Tesoro 17,bead,"Costume, Accessories::Bead","Glass, translucent bright blue-gray",Glass Bead
PC 19940058,Tesoro,Tesoro 26,bead,"Costume, Accessories::Bead",Glass,Glass Bead Fragment
PC 19980054,Civitate A,Civitate A 42N,bead,"Costume, Accessories::Bead",Glass,Glass Bead Fragment
PC 19810096,Tesoro,Tesoro 26,production/replication,Production Waste,Glass,Glass Slag
PC 19711004,Tesoro Rectangle,Tesoro Rectangle 8,sample,Unclassified / Debris / Misc.,Glass,Glass Fragment
PC 20100009,Civitate A,Civitate A 64,sample,Unclassified / Debris / Misc.,Glass,Glass Fragment
PC 20000089,Tesoro,Tesoro 21,sample,Unclassified / Debris / Misc.,Glass,Glass Fragment
PC 19930145,Tesoro,Tesoro 22 West Extension,vessel,Vessel,Blue glass,Glass
PC 19870068,Tesoro,Tesoro 26,sample,Unclassified / Debris / Misc.,Blue glass,Glass Fragment
PC 20050087,Tesoro,Tesoro 30G,sample,Unclassified / Debris / Misc.,Glass,Glass Fragments
PC 19780255,Tesoro,Tesoro 23,sample,Unclassified / Debris / Misc.,Glass,Blue Glass Fragment
PC 19810098,Tesoro,Tesoro 26,vessel,Vessel,Glass,Glass Handle and Rim Fragment
PC 19960006,Civitate D,Civitate D 8,bead,"Costume, Accessories::Bead",Glass,Glass Bead
PC 19711003,Tesoro Rectangle,Tesoro Rectangle 8,sample,Unclassified / Debris / Misc.,Glass,Glass Fragment
PC 19710617,Tesoro Rectangle,Tesoro Rectangle 8,bead,"Costume, Accessories::Bead",Glass; amber in color.,Glass Bead
PC 19701000,Tesoro Rectangle,Tesoro Rectangle 13,sample,Unclassified / Debris / Misc.,Glass,Glass Fragment
PC 19710108,Tesoro Rectangle,Tesoro Rectangle 7,bead,"Costume, Accessories::Bead","Glass, whitish-beige with irridescent white patina.",Glass Bead
PC 20070135,Civitate A,Civitate A 60,pendant,"Costume, Accessories::Pendant",Glass,Medieval Glass Pendant
PC 19870090,Tesoro,Tesoro 26,bead,"Costume, Accessories::Bead",Blue glass,Glass Bead Fragment
PC 20050104,Tesoro,Tesoro 30G,sample,Unclassified / Debris / Misc.,Glass,Glass Fragment
PC 20090094,Tesoro,Tesoro 50,sample,Unclassified / Debris / Misc.,Glass,Glass Fragment
PC 20100001,Civitate B,Civitate B 36,vessel,Vessel,Glass,Glass Ring Fragment
PC 19711002,Tesoro Rectangle,Tesoro Rectangle 8,vessel,Vessel,Glass,Glass Ring
PC 19930001,Tesoro,Tesoro 22 West Extension,sample,Unclassified / Debris / Misc.,Blue glass,Glass Fragment
PC 19780242,Tesoro,Tesoro 23,sample,Unclassified / Debris / Misc.,Glass,Fragment of Glass
PC 19930124,Tesoro,Tesoro 21,production/replication,Production Waste,Glass,Glass Waster
PC 19990060,Tesoro South Flank,"Tesoro South Flank, Extension I 0",sample,Unclassified / Debris / Misc.,Glass,Glass Fragment
PC 19890155,Tesoro,Tesoro 26,sample,Unclassified / Debris / Misc.,Glass,Glass Fragment
PC 19780253,Tesoro,Tesoro 23,sample,Unclassified / Debris / Misc.,Glass,Glass Fragment
PC 19780243,Tesoro,Tesoro 23,sample,Unclassified / Debris / Misc.,Glass,Glass Fragments
PC 19711005,Tesoro Rectangle,Tesoro Rectangle 8,sample,Unclassified / Debris / Misc.,Glass,Glass Fragment
PC 19770180,Tesoro,Tesoro 17,vessel,Vessel,Glass,Fragment of Glass
PC 19920047,Tesoro,Tesoro 26,vessel,Vessel,Blue glass,Rim Fragment of a Glass Vessel
PC 19780240,Tesoro,Tesoro 23,sample,Unclassified / Debris / Misc.,Glass,Fragment of Glass
PC 19780241,Tesoro,Tesoro 22,sample,Unclassified / Debris / Misc.,Glass,Fragment of Glass
PC 19770058,Tesoro,Tesoro 17,sample,Unclassified / Debris / Misc.,Glass,Small Fragment of Glass
PC 19780197,Tesoro,Tesoro 23,sample,Unclassified / Debris / Misc.,Glass,Fragment of Glass
PC 19720497,Courtyard,Courtyard,sample,Unclassified / Debris / Misc.,Glass,Three Glass Rings
PC 19790074,Tesoro,Tesoro 23,sample,Unclassified / Debris / Misc.,Glass,Glass Fragment
PC 20090202,Unrecorded,Unrecorded,sample,Unclassified / Debris / Misc.,Glass,Glass Fragment with Perforation
PC 19711008,Tesoro Rectangle,Tesoro Rectangle 8,sample,Unclassified / Debris / Misc.,Glass,Glass Fragment
PC 19790246,Tesoro,Tesoro 23,sample,Unclassified / Debris / Misc.,Glass,Two Glass Fragments
PC 19710882,Tesoro,Tesoro 17,vessel,Vessel,Glass,Glass Fragments
PC 19711007,Tesoro Rectangle,Tesoro Rectangle 8,vessel,Vessel,Glass,Glass Rim Fragment
PC 19780200,Tesoro,Tesoro 22,vessel,Vessel,"Glass, blue",Fragment Glass Bottle
PC 19711010,Tesoro Rectangle,Tesoro Rectangle 8,sample,Unclassified / Debris / Misc.,Glass,Three Glass Fragments
PC 19711014,Tesoro Rectangle,Tesoro Rectangle 8,vessel,Vessel,Glass,Glass Base Fragment
PC 19711006,Tesoro Rectangle,Tesoro Rectangle 8,vessel,Vessel,Glass,Three Glass Fragments
PC 19711013,Tesoro Rectangle,Tesoro Rectangle 8,sample,Unclassified / Debris / Misc.,Glass,Glass Fragment
PC 19711001,Tesoro Rectangle,Tesoro Rectangle 7,sample,Unclassified / Debris / Misc.,Glass,Glass Fragment
PC 19711011,Tesoro Rectangle,Tesoro Rectangle 8,sample,Unclassified / Debris / Misc.,Glass,Glass Fragment
PC 19711012,Tesoro Rectangle,Tesoro Rectangle 8,sample,Unclassified / Debris / Misc.,Glass,Glass Fragment
PC 19900095,Civitate A,Civitate A 35,sample,Unclassified / Debris / Misc.,Glass,Glass Fragment
PC 19711009,Tesoro Rectangle,Tesoro Rectangle 8,sample,Unclassified / Debris / Misc.,Glass,Two Glass Fragments
PC 19780201,Tesoro,Tesoro 22,sample,Unclassified / Debris / Misc.,"Glass, blue",Fragment of Glass
PC 19710444,Tesoro Rectangle,Tesoro Rectangle 7,bead,"Costume, Accessories::Bead","Glass or glass paste, blue-green patinated white.",Glass Bead
PC 19710574,Tesoro Rectangle,Tesoro Rectangle 7,bead,"Costume, Accessories::Bead",Glass-paste - blue-green.,Flat Glass-Paste Bead
PC 19710573,Tesoro Rectangle,Tesoro Rectangle 7,bead,"Costume, Accessories::Bead",Glass-paste - blue-green.,Flat Glass-Paste Bead
PC 20070172,Tesoro,Tesoro 45,sample,Unclassified / Debris / Misc.,Glass,Glass Fragments
PC 19660012,Tesoro,Tesoro 2D,bead,"Costume, Accessories::Bead",Translucent; pale greenish yellow.,Glass or Quartz Bead
PC 19711000,Tesoro Rectangle,Tesoro Rectangle 7,sample,Unclassified / Debris / Misc.,Glass,Glass Fragment
PC 19710575,Tesoro Rectangle,Tesoro Rectangle 7,bead,"Costume, Accessories::Bead",Glass-paste - yellow-beige color.,Small Glass-Paste Bead
PC 19710881,Tesoro Rectangle,Tesoro Rectangle 7,vessel,Vessel,Glass,Glass Fragments
